badge_id,name,icon,image_locked,image_earned,description,share_text
first_clear,はじめの一歩,🌟,badge_locked.png,06.png,初めてレッスンをクリア！,"はじめての
レッスンクリア！"
lesson_5,英文法5レッスンクリア,📚,badge_locked.png,01.png,英文法を累計5レッスンクリア！,"英文法
累計5レッスン
クリア！"
lesson_10,英文法10レッスンクリア,📚,badge_locked.png,05.png,英文法を累計10レッスンクリア！,"英文法
累計10レッスン
クリア！"
unit_1_complete,Unit1コンプリート,🏆,badge_locked.png,06.png,英文法のUnit1の全レッスンを完了！,"Unit1の全レッスン
コンプリート！"
streak_3,3日連続,🔥,badge_locked.png,06.png,3日連続で学習！,"3日連続で
学習したよ！"
streak_7,7日連続,🔥,badge_locked.png,01.png,7日連続で学習！,"7日連続で
学習したよ！"
streak_10,10日連続,🔥,badge_locked.png,05.png,10日連続で学習！,"10日連続で
学習したよ！"
streak_30,30日連続,🔥,badge_locked.png,03.png,30日連続で学習！,"30日連続で
学習したよ！"
streak_50,50日連続,🔥,badge_locked.png,04.png,50日連続で学習！,"50日連続で
学習したよ！"
round_5,英単語5レッスンクリア,🎯,badge_locked.png,03.png,英単語を累計5レッスンクリア！,"英単語
累計5レッスン
クリア！"
round_10,英単語10レッスンクリア,🎯,badge_locked.png,01.png,英単語を累計10レッスンクリア！,"英単語
累計10レッスン
クリア！"
round_20,英単語20レッスンクリア,🎯,badge_locked.png,02.png,英単語を累計20レッスンクリア！,"英単語
累計20レッスン
クリア！"
round_30,英単語30レッスンクリア,🎯,badge_locked.png,04.png,英単語を累計30レッスンクリア！,"英単語
累計30レッスン
クリア！"
round_50,英単語50レッスンクリア,🎯,badge_locked.png,06.png,英単語を50レッスンクリア！,"英単語
累計50レッスン
クリア！"
