page_id,lesson_id,page_NO,text,deco_words,style,image_NO,layout
u5_l7_p1,u5_l7,1,"疑問文の返事と
否定文をやっていこう",,,5-7-1,image_top
u5_l7_p2,u5_l7,2,"Do you play the piano?
に返事をするときは",,,5-7-2-1,image_top
u5_l7_p3,u5_l7,3,"基本は
Yes, I do.とか",,,5-7-2-2,image_top
u5_l7_p4,u5_l7,4,"No, I don’t.
って言えばいい。",,,5-7-2-3,image_top
u5_l7_p5,u5_l7,5,don’t は、do notの略だよ。,,,5-7-2-3,image_top
u5_l7_p6,u5_l7,6,"三単現のときは、
Yes, he does. とか",,,5-7-3-1,image_top
u5_l7_p7,u5_l7,7,"No, he doesn’t.
になるよ。",,,5-7-3-2,image_top
u5_l7_p8,u5_l7,8,"もちろん
Yes、Noだけでもいいし",,,5-7-3-2,image_top
u5_l7_p9,u5_l7,9,"答えになっていれば
なんでもOK！",,,5-7-3-2,image_top
u5_l7_p10,u5_l7,10,"おまえ、これ知ってる？
Do you know this? ",,,5-7-4-1,image_top
u5_l7_p11,u5_l7,11,"ライオン！
A lion!",,,5-7-4-2,image_top
u5_l7_p12,u5_l7,12,"否定の文を作るときは
動詞の前にdon'tを置くよ。",,,5-7-5,image_top
u5_l7_p13,u5_l7,13,"I don’t know that.
それは知らないよ。",,,5-7-5,image_top
u5_l7_p14,u5_l7,14,"He doesn’t eat octopus.
彼はタコはたべないよ。",,,5-7-6,image_top
u5_l7_p15,u5_l7,15,こんな感じ。,,,5-7-6,image_top
u5_l7_p16,u5_l7,16,"普段の文（肯定文）では
息をひそめていた
「Do」「Does」が",,,5-7-6,image_top
u5_l7_p17,u5_l7,17,"疑問文と否定文では
ひょっこり登場するんだね。",,,5-7-6,image_top
u5_l7_p18,u5_l7,18,"それじゃあ練習へ
GO!",,,5-7-6,image_top
