question_id,lesson_id,icon_first,icon_second,ja_show_first,position_first,position_second,ja_show_second,audio_auto,sentence_first_en,sentence_second_en,sentence_first_origin,sentence_second_origin,sentence_first_ja,sentence_second_ja,answer,chips,audio_first,audio_second,chip,audio_first,audio_second
u2_l8_q1,u2_l8,05.png,user,1,left,right,1,0,What would you like?,"_　_______ ,  please.",What would you like?,"A sandwich, please.",何にいたしますか？,サンドウィッチ（1個）おねがいします。,A sandwich,A|sandwich,2-8-1-a.mp3,2-8-1-b.mp3,A sandwich,2-8-1,2-8-1
u2_l8_q2,u2_l8,05.png,user,1,left,right,1,0,What animals do you like?,____！,What animals do you like?,Dogs!,動物は何が好き？,イヌ！,Dogs,Dogs|Dog,2-8-2-a.mp3,2-8-2-b.mp3,Dogs Dog,2-8-2,2-8-2
u2_l8_q3,u2_l8,05.png,user,1,left,right,1,0,What would you like?,"_　_______ ,　______ .",What would you like?,"A notebook, please.",何にいたしますか？,ノート（1冊）おねがいします。,A notebook please,A|notebook|please,2-8-3-a.mp3,2-8-3-b.mp3,A notebook please,2-8-3,2-8-3
u2_l8_q4,u2_l8,05.png,user,1,left,right,1,0,I bought a banana and an apple.,I want to eat　___　______ .,I bought a banana and an apple.,I want to eat the banana.,バナナとリンゴ買ったんだ。,（その）バナナ食べたい！,the banana,the|banana|bananas,2-8-4-a.mp3,2-8-4-b.mp3,the banana bananas,2-8-4,2-8-4
u2_l8_q5,u2_l8,05.png,user,1,left,right,1,0,What do you want to do tomorrow?,_____  !,What do you want to do tomorrow?,Tennis!,明日何したい？,テニス！,Tennis,Tennis|A|Tennises,2-8-5-a.mp3,2-8-5-b.mp3,Tennis A Tennises,2-8-5,2-8-5
u2_l8_q6,u2_l8,05.png,user,1,left,right,1,0,Where are you going?,___　_______ !,Where are you going?,The library!,どこに行くの？,図書館！,The library,The|library,2-8-6-a.mp3,2-8-6-b.mp3,The library,2-8-6,2-8-6
u2_l8_q7,u2_l8,05.png,user,1,left,right,1,0,What do you have?,__　____ .,What do you have?,A frog.,何もってるの？,カエル。,A frog,A|frog,2-8-7-a.mp3,2-8-7-b.mp3,A frog,2-8-7,2-8-7
u2_l8_q8,u2_l8,05.png,user,1,left,right,1,0,What would you like?,"Two salads and   __　_______　______  ,  please.",What would you like?,"Two saladas and an orange juice, please.",何にいたしますか？,サラダ2つとオレンジジュース1つ、おねがいします。,an orange juice,an|orange|juice,2-8-8-a.mp3,2-8-8-b.mp3,an orange juice,2-8-8,2-8-8
u2_l8_q9,u2_l8,05.png,user,1,left,right,1,0,How many apples do you want?,___　______!,How many apples do you want?,Two apples!,リンゴ何個ほしい？,りんご二つ！,Two apples,Two|apples,2-8-9-a.mp3,2-8-9-b.mp3,Two apples,2-8-9,2-8-9
u2_l8_q10,u2_l8,05.png,user,1,left,right,1,0,What did you spill?,______ .,What did you spill?,Milk.,何こぼしたの？,牛乳。,Milk,A|Milk,2-8-10-a.mp3,2-8-10-b.mp3,A Milk,2-8-10,2-8-10
