section_id,stage_id,section_no,section_name,total_words,words_csv,rounds_csv
st1_sec1,st1,1,Section1,40,words_st1_sec1.csv,rounds_st1_sec1.csv
st1_sec2,st1,2,Section2,40,words_st1_sec2.csv,rounds_st1_sec2.csv
st1_sec3,st1,3,Section3,40,words_st1_sec3.csv,rounds_st1_sec3.csv
st1_sec4,st1,4,Section4,40,words_st1_sec4.csv,rounds_st1_sec4.csv
st1_sec5,st1,5,Section5,40,words_st1_sec5.csv,rounds_st1_sec5.csv
st1_sec6,st1,6,Section6,23,words_st1_sec6.csv,rounds_st1_sec6.csv
st2_sec1,st2,1,Section1,40,words_st2_sec1.csv,rounds_st2_sec1.csv
st2_sec2,st2,2,Section2,40,words_st2_sec2.csv,rounds_st2_sec2.csv
st2_sec3,st2,3,Section3,40,words_st2_sec3.csv,rounds_st2_sec3.csv
st2_sec4,st2,4,Section4,40,words_st2_sec4.csv,rounds_st2_sec4.csv
st2_sec5,st2,5,Section5,40,words_st2_sec5.csv,rounds_st2_sec5.csv
st2_sec6,st2,6,Section6,40,words_st2_sec6.csv,rounds_st2_sec6.csv
st2_sec7,st2,7,Section7,40,words_st2_sec7.csv,rounds_st2_sec7.csv
st2_sec8,st2,8,Section8,40,words_st2_sec8.csv,rounds_st2_sec8.csv
st2_sec9,st2,9,Section9,40,words_st2_sec9.csv,rounds_st2_sec9.csv
st2_sec10,st2,10,Section10,21,words_st2_sec10.csv,rounds_st2_sec10.csv
st3_sec1,st3,1,Section1,40,words_st3_sec1.csv,rounds_st3_sec1.csv
st3_sec2,st3,2,Section2,40,words_st3_sec2.csv,rounds_st3_sec2.csv
st3_sec3,st3,3,Section3,40,words_st3_sec3.csv,rounds_st3_sec3.csv
st3_sec4,st3,4,Section4,40,words_st3_sec4.csv,rounds_st3_sec4.csv
st3_sec5,st3,5,Section5,40,words_st3_sec5.csv,rounds_st3_sec5.csv
st3_sec6,st3,6,Section6,40,words_st3_sec6.csv,rounds_st3_sec6.csv
st3_sec7,st3,7,Section7,40,words_st3_sec7.csv,rounds_st3_sec7.csv
st3_sec8,st3,8,Section8,40,words_st3_sec8.csv,rounds_st3_sec8.csv
st3_sec9,st3,9,Section9,40,words_st3_sec9.csv,rounds_st3_sec9.csv
st3_sec10,st3,10,Section10,40,words_st3_sec10.csv,rounds_st3_sec10.csv
st3_sec11,st3,11,Section11,38,words_st3_sec11.csv,rounds_st3_sec11.csv
st4_sec1,st4,1,Section1,40,words_st4_sec1.csv,rounds_st4_sec1.csv
st4_sec2,st4,2,Section2,40,words_st4_sec2.csv,rounds_st4_sec2.csv
st4_sec3,st4,3,Section3,40,words_st4_sec3.csv,rounds_st4_sec3.csv
st4_sec4,st4,4,Section4,40,words_st4_sec4.csv,rounds_st4_sec4.csv
st4_sec5,st4,5,Section5,40,words_st4_sec5.csv,rounds_st4_sec5.csv
