question_id,question_no,round_id,lesson_id,sentence1_origin,sentence2_origin,sentence_first_ja,sentence_second_ja,highlight_word,bubble_gray,chip_input,audio1_input,audio2_input,voice1,voice2,audio_auto,icon_first,icon_second,position_first,position_second,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second
st1_sec8_e0421a,1,ast1_sec8_r01,,We have the same backpack!,"Haha, really? That's so funny!",私たち、同じリュックだ！,あはは、ほんとだ？面白い！,same,2,We have the same backpack!,1-8-1,1-8-1,Ivy,Ruth,1,user,05.png,right,left,____________,____________,We have the same backpack!,We|have|the|same|backpack!,1-8-1-a.mp3,1-8-1-b.mp3
st1_sec8_e0421b,2,ast1_sec8_r01,,We have the same backpack!,"Haha, really? That's so funny!",私たち、同じリュックだ！,あはは、ほんとだ？面白い！,same,1,"Haha, really? That's so funny!",1-8-1,1-8-1,Ivy,Ruth,2,user,05.png,right,left,We have the same backpack!,____________,"Haha, really? That's so funny!","Haha,|really?|That's|so|funny!",1-8-1-a.mp3,1-8-1-b.mp3
st1_sec8_e0422a,3,ast1_sec8_r01,,I want to learn how to swim.,I can teach you this summer!,泳ぎ方を習いたいな。,この夏、私が教えてあげる！,learn,2,I want to learn how to swim.,1-8-2,1-8-2,Ivy,Ruth,1,user,05.png,right,left,____________,____________,I want to learn how to swim.,I|want|to|learn|how|to|swim.,1-8-2-a.mp3,1-8-2-b.mp3
st1_sec8_e0422b,4,ast1_sec8_r01,,I want to learn how to swim.,I can teach you this summer!,泳ぎ方を習いたいな。,この夏、私が教えてあげる！,learn,1,I can teach you this summer!,1-8-2,1-8-2,Ivy,Ruth,2,user,05.png,right,left,I want to learn how to swim.,____________,I can teach you this summer!,I|can|teach|you|this|summer!,1-8-2-a.mp3,1-8-2-b.mp3
st1_sec8_e0423a,5,ast1_sec8_r01,,Can you teach me this song?,Sure! Listen carefully.,この歌、教えてくれる？,いいよ！よく聞いてね。,teach,2,Can you teach me this song?,1-8-3,1-8-3,Ivy,Ruth,1,user,05.png,right,left,____________,____________,Can you teach me this song?,Can|you|teach|me|this|song?,1-8-3-a.mp3,1-8-3-b.mp3
st1_sec8_e0423b,6,ast1_sec8_r01,,Can you teach me this song?,Sure! Listen carefully.,この歌、教えてくれる？,いいよ！よく聞いてね。,teach,1,Sure! Listen carefully.,1-8-3,1-8-3,Ivy,Ruth,2,user,05.png,right,left,Can you teach me this song?,____________,Sure! Listen carefully.,Sure!|Listen|carefully.,1-8-3-a.mp3,1-8-3-b.mp3
st1_sec8_e0424a,7,ast1_sec8_r01,,I want to visit Paris someday.,Me too! Let's go together!,いつかパリに行きたいな。,私も！一緒に行こうよ！,someday,2,I want to visit Paris someday.,1-8-4,1-8-4,Ivy,Ruth,1,user,05.png,right,left,____________,____________,I want to visit Paris someday.,I|want|to|visit|Paris|someday.,1-8-4-a.mp3,1-8-4-b.mp3
st1_sec8_e0424b,8,ast1_sec8_r01,,I want to visit Paris someday.,Me too! Let's go together!,いつかパリに行きたいな。,私も！一緒に行こうよ！,someday,1,Me too! Let's go together!,1-8-4,1-8-4,Ivy,Ruth,2,user,05.png,right,left,I want to visit Paris someday.,____________,Me too! Let's go together!,Me|too!|Let's|go|together!,1-8-4-a.mp3,1-8-4-b.mp3
st1_sec8_e0425a,9,ast1_sec8_r01,,I feel sick today.,Oh no! You should rest.,今日、気分が悪いんだ。,大変！休んだほうがいいよ。,sick,2,I feel sick today.,1-8-5,1-8-5,Ivy,Ruth,1,user,05.png,right,left,____________,____________,I feel sick today.,I|feel|sick|today.,1-8-5-a.mp3,1-8-5-b.mp3
st1_sec8_e0425b,10,ast1_sec8_r01,,I feel sick today.,Oh no! You should rest.,今日、気分が悪いんだ。,大変！休んだほうがいいよ。,sick,1,Oh no! You should rest.,1-8-5,1-8-5,Ivy,Ruth,2,user,05.png,right,left,I feel sick today.,____________,Oh no! You should rest.,Oh|no!|You|should|rest.,1-8-5-a.mp3,1-8-5-b.mp3
