example_id,word,en1,en2,ja1,ja2,stage,voice1,voice2
e0001,art,I really love my art class!,Same! Painting is so much fun.,美術の授業、ほんと大好き！,だよね！絵を描くのってすごく楽しい。,1,Ivy,Ruth
e0002,right now,"Mom, can you help me right now?","Sure, what's wrong?",ママ、今すぐ手伝ってくれる？,いいよ、どうしたの？,1,Ivy,Ruth
e0003,cook,Can you cook dinner with me tonight?,Sure! What should we make?,今夜、一緒に夕ごはん作らない？,いいよ！何作ろうか？,1,Ivy,Ruth
e0004,ago,I moved here three years ago.,Really? It feels like you've always been here!,3年前にここに引っ越してきたんだ。,ほんと？ずっとここにいるみたいだよ！,1,Ivy,Ruth
e0005,a few,I made a few cookies. Want some?,Yes please! They smell so good!,クッキーをちょっと作ったの。いる？,ほしい！すごくいい匂い！,1,Ivy,Ruth
e0006,near,My school is near my house.,Lucky! Mine is so far.,私の学校、家のすぐ近くなんだ。,いいなぁ！うちはすごく遠いよ。,1,Ivy,Ruth
e0007,plant,Let's plant some flowers in the garden!,Yes! I want to plant sunflowers!,庭にお花を植えようよ！,うん！ひまわりを植えたい！,1,Ivy,Ruth
e0008,enter,You can't enter this room without knocking!,"Oh, sorry! I forgot.",ノックしないでこの部屋に入っちゃダメ！,あっ、ごめん！忘れてた。,1,Ivy,Ruth
e0009,Take care,See you next week!,Take care! Don't forget to text me!,また来週ね！,気をつけてね！メールするの忘れないで！,1,Ivy,Ruth
e0010,I'd like to,"I'd like to order a pizza, please!","Sure, what size?",ピザを一つ注文したいんですけど！,かしこまりました、サイズはどうしますか？,1,Ivy,Ruth
e0011,What's new?,Hi! What's new?,"Not much, just school stuff. You?",やあ！何か変わったことあった？,別に、学校のことくらいかな。そっちは？,1,Ivy,Ruth
e0012,always,My brother always eats my snacks!,"Ugh, that's so annoying!",お兄ちゃんがいつも私のお菓子を食べちゃうの！,うわ、それすごくむかつくね！,1,Ivy,Ruth
e0013,good at,"Wow, you're really good at drawing!",Thanks! I practice every day.,わぁ、絵がほんとに上手だね！,ありがとう！毎日練習してるんだ。,1,Ivy,Ruth
e0014,going to,I'm going to make a cake for Mom's birthday!,Cool! Can I help you?,ママの誕生日にケーキを作るんだ！,いいね！手伝ってもいい？,1,Ivy,Ruth
e0015,made of,"Look, this toy is made of wood!",Cool! It feels so warm.,見て、このおもちゃ木でできてるよ！,いいね！あったかい感じがする。,1,Ivy,Ruth
e0016,run,Don't run in the hallway!,Sorry! I was just in a hurry.,廊下を走っちゃダメ！,ごめん！ちょっと急いでて。,1,Ivy,Ruth
e0017,everywhere,There are flowers everywhere in spring!,I love it! Let's go for a walk.,春はそこら中に花が咲くね！,大好き！散歩に行こうよ。,1,Ivy,Ruth
e0018,ready for,Are you ready for the test tomorrow?,Almost! I just need to review one more time.,明日のテストの準備できてる？,もう少し！あと一回見直すだけ。,1,Ivy,Ruth
e0019,make tea,Want me to make tea for you?,Yes please! Some warm tea sounds nice.,お茶いれてあげようか？,うん、お願い！あったかいお茶飲みたい。,1,Ivy,Ruth
e0020,no one,No one was home when I got there.,"Aw, that's lonely.",着いたとき、誰も家にいなかったんだ。,あぁ、それはさみしいね。,1,Ivy,Ruth
e0021,That's fine with me,Can we have pizza tonight?,That's fine with me! I love pizza.,今夜ピザにしてもいい？,私はいいよ！ピザ大好き。,1,Ivy,Ruth
e0022,center,Look! There's a coin in the center of the fountain!,Cool! Should we make a wish?,見て！噴水の真ん中にコインがあるよ！,ほんとだ！お願いごとしようか？,1,Ivy,Ruth
e0023,each other,We helped each other with our homework.,That's so nice of you!,私たち、お互いに宿題を手伝ったんだ。,えらいね！,1,Ivy,Ruth
e0024,color,What's your favorite color?,Blue! Like the sky on a sunny day.,好きな色は何？,青！晴れた日の空みたいな。,1,Ivy,Ruth
e0025,thanks for,Thanks for helping me with my homework!,No problem! Anytime!,宿題手伝ってくれてありがとう！,どういたしまして！いつでもどうぞ！,1,Ivy,Ruth
e0026,Good morning,Good morning! Did you sleep well?,"Yes, thanks! I had a fun dream.",おはよう！よく眠れた？,うん、ありがとう！楽しい夢を見たよ。,1,Ivy,Ruth
e0027,How about,What should we eat for lunch?,How about pasta?,お昼ごはん何にする？,パスタはどう？,1,Ivy,Ruth
e0028,throw,Don't throw the ball inside the house!,"Sorry, Mom! I won't do it again.",家の中でボールを投げちゃダメ！,ごめんなさい、ママ！もうしないよ。,1,Ivy,Ruth
e0029,never,I've never been to Disneyland before!,What?! We have to go someday!,ディズニーランド、一回も行ったことないんだ！,ええっ！？いつか絶対行こうよ！,1,Ivy,Ruth
e0030,better,I feel better today. My fever is gone!,Yay! Let's go play outside!,今日は調子がいいよ。熱も下がった！,やった！外で遊ぼう！,1,Ivy,Ruth
e0031,young,"When my mom was young, she lived in Kyoto.",Cool! I want to visit Kyoto someday.,ママは若いころ京都に住んでたんだって。,いいね！私もいつか京都に行きたいな。,1,Ivy,Ruth
e0032,anyway,"It's raining, but anyway, let's go outside!","Wait, let me grab an umbrella!",雨だけど、とにかく外に行こうよ！,待って、傘を取ってくる！,1,Ivy,Ruth
e0033,like this,How do I tie my shoes?,Like this! Watch carefully.,靴ひもってどうやって結ぶの？,こうだよ！よく見ててね。,1,Ivy,Ruth
e0034,wonderful,This birthday party is wonderful!,Thanks! I'm so happy you came!,この誕生日パーティー、最高だね！,ありがとう！来てくれてすごくうれしい！,1,Ivy,Ruth
e0035,follow,Follow me! I know a shortcut!,"Okay, wait up! Don't go too fast!",ついてきて！近道知ってるんだ！,わかった、待って！そんなに速く行かないで！,1,Ivy,Ruth
e0036,get better,I hope you get better soon!,Thanks! My fever is going down already.,早くよくなるといいね！,ありがとう！もう熱が下がってきたよ。,1,Ivy,Ruth
e0037,between,I sit between Mike and Tom at school.,Cool! Are they nice?,学校ではマイクとトムの間に座ってるんだ。,いいね！二人とも優しい？,1,Ivy,Ruth
e0038,bring,Don't forget to bring your umbrella!,Thanks! I almost forgot.,傘を持っていくの忘れないでね！,ありがとう！危うく忘れるとこだった。,1,Ivy,Ruth
e0039,fly,Look! That bird can fly so high!,"Wow, I wish I could fly too!",見て！あの鳥、すごく高く飛べるね！,わぁ、私も飛べたらいいのに！,1,Ivy,Ruth
