word_id,word,ja,audio,stage,section_id,hint_image
v0584,white rice,白米,white rice.mp3,2,st2_sec10,
v0585,tourist,観光客,tourist.mp3,2,st2_sec10,
v0586,heater,ヒーター,heater.mp3,2,st2_sec10,
v0587,hip hop,ヒップホップ,hip hop.mp3,2,st2_sec10,
v0588,koala,コアラ,koala.mp3,2,st2_sec10,
v0589,bill,請求書・紙幣,bill.mp3,2,st2_sec10,
v0590,queen,女王,queen.mp3,2,st2_sec10,
v0591,heaven,天国,heaven.mp3,2,st2_sec10,
v0592,sweatshirt,スウェット,sweatshirt.mp3,2,st2_sec10,
v0593,girlfriend,ガールフレンド,girlfriend.mp3,2,st2_sec10,
v0594,printer,プリンター,printer.mp3,2,st2_sec10,
v0595,dessert,デザート,dessert.mp3,2,st2_sec10,
v0596,truck,トラック,truck.mp3,2,st2_sec10,
v0597,pie,パイ,pie.mp3,2,st2_sec10,
v0598,zip code,郵便番号,zip code.mp3,2,st2_sec10,
v0599,movie theater,映画館,movie theater.mp3,2,st2_sec10,
v0600,dentist,歯医者,dentist.mp3,2,st2_sec10,
v0601,sunrise,日の出,sunrise.mp3,2,st2_sec10,
v0602,beef,牛肉,beef.mp3,2,st2_sec10,
v0603,vacuum cleaner,掃除機,vacuum cleaner.mp3,2,st2_sec10,
v0604,bamboo,竹,bamboo.mp3,2,st2_sec10,
