word_id,word,ja,audio,stage,section_id
v0645,researcher,研究者,researcher.mp3,3,st3_sec2
v0646,trumpet,トランペット,trumpet.mp3,3,st3_sec2
v0647,goose,ガチョウ,goose.mp3,3,st3_sec2
v0648,software,ソフトウェア,software.mp3,3,st3_sec2
v0649,explorer,探検家,explorer.mp3,3,st3_sec2
v0650,starfish,ヒトデ,starfish.mp3,3,st3_sec2
v0651,pronunciation,発音,pronunciation.mp3,3,st3_sec2
v0652,milkshake,ミルクシェイク,milkshake.mp3,3,st3_sec2
v0653,highlighter,蛍光ペン,highlighter.mp3,3,st3_sec2
v0654,signal,信号,signal.mp3,3,st3_sec2
v0655,teaspoon,小さじ,teaspoon.mp3,3,st3_sec2
v0656,crane,ツル（鳥）,crane.mp3,3,st3_sec2
v0657,lottery,宝くじ,lottery.mp3,3,st3_sec2
v0658,industry,産業,industry.mp3,3,st3_sec2
v0659,eel,ウナギ,eel.mp3,3,st3_sec2
v0660,desk lamp,デスクランプ,desk lamp.mp3,3,st3_sec2
v0661,multiplication,掛け算,multiplication.mp3,3,st3_sec2
v0662,balance,バランス・残高,balance.mp3,3,st3_sec2
v0663,injury,けが,injury.mp3,3,st3_sec2
v0664,penny,1セント硬貨,penny.mp3,3,st3_sec2
v0665,essay,エッセイ,essay.mp3,3,st3_sec2
v0666,landmark,ランドマーク,landmark.mp3,3,st3_sec2
v0667,manager,マネージャー,manager.mp3,3,st3_sec2
v0668,composer,作曲家,composer.mp3,3,st3_sec2
v0669,gesture,ジェスチャー,gesture.mp3,3,st3_sec2
v0670,electric guitar,エレキギター,electric guitar.mp3,3,st3_sec2
v0671,translation,翻訳,translation.mp3,3,st3_sec2
v0672,privacy,プライバシー,privacy.mp3,3,st3_sec2
v0673,rhinoceros,サイ（動物）,rhinoceros.mp3,3,st3_sec2
v0674,century,世紀,century.mp3,3,st3_sec2
v0675,musical,ミュージカル,musical.mp3,3,st3_sec2
v0676,foreign currency,外貨,foreign currency.mp3,3,st3_sec2
v0677,aroma,アロマ・香り,aroma.mp3,3,st3_sec2
v0678,protein,タンパク質,protein.mp3,3,st3_sec2
v0679,Fahrenheit,華氏,Fahrenheit.mp3,3,st3_sec2
v0680,cotton,綿・コットン,cotton.mp3,3,st3_sec2
v0681,trailer,トレーラー,trailer.mp3,3,st3_sec2
v0682,underpants,パンツ（下着）,underpants.mp3,3,st3_sec2
v0683,celebrity,有名人,celebrity.mp3,3,st3_sec2
v0684,fuel,燃料,fuel.mp3,3,st3_sec2
