word_id,word,ja,audio,stage,section_id
v1243,phenomenon,現象,phenomenon.mp3,5,st5_sec1
v1244,abalone,アワビ,abalone.mp3,5,st5_sec1
v1245,scarab beetle,スカラベ,scarab beetle.mp3,5,st5_sec1
v1246,linguistics,言語学,linguistics.mp3,5,st5_sec1
v1247,horse mackerel,アジ,horse mackerel.mp3,5,st5_sec1
v1248,globefish,フグ,globefish.mp3,5,st5_sec1
v1249,gerbera,ガーベラ,gerbera.mp3,5,st5_sec1
v1250,stink bug,カメムシ,stink bug.mp3,5,st5_sec1
v1251,flounder,カレイ,flounder.mp3,5,st5_sec1
v1252,chemotherapy,化学療法,chemotherapy.mp3,5,st5_sec1
v1253,atopy,アトピー,atopy.mp3,5,st5_sec1
v1254,oarfish,リュウグウノツカイ,oarfish.mp3,5,st5_sec1
v1255,payroll,給与,payroll.mp3,5,st5_sec1
v1256,red snapper,タイ（鯛）,red snapper.mp3,5,st5_sec1
v1257,roly-poly,起き上がりこぼし,roly-poly.mp3,5,st5_sec1
v1258,implant,インプラント,implant.mp3,5,st5_sec1
v1259,hives,じんましん,hives.mp3,5,st5_sec1
v1260,yellowtail,ブリ（魚）,yellowtail.mp3,5,st5_sec1
v1261,bricklayer,れんが職人,bricklayer.mp3,5,st5_sec1
v1262,molecule,分子,molecule.mp3,5,st5_sec1
v1263,conger eel,アナゴ,conger eel.mp3,5,st5_sec1
v1264,turban shell,サザエ,turban shell.mp3,5,st5_sec1
v1265,young yellowtail,ハマチ（魚）,young yellowtail.mp3,5,st5_sec1
v1266,organism,生物・有機体,organism.mp3,5,st5_sec1
v1267,wholesale,卸売り,wholesale.mp3,5,st5_sec1
v1268,sea bass,スズキ（魚）,sea bass.mp3,5,st5_sec1
v1269,fur seal,オットセイ,fur seal.mp3,5,st5_sec1
v1270,sea cucumber,ナマコ,sea cucumber.mp3,5,st5_sec1
v1271,orange osmanthus,キンモクセイ,orange osmanthus.mp3,5,st5_sec1
v1272,sommelier,ソムリエ,sommelier.mp3,5,st5_sec1
v1273,satellite imagery,衛星画像,satellite imagery.mp3,5,st5_sec1
v1274,coelacanth,シーラカンス,coelacanth.mp3,5,st5_sec1
v1275,sea bream,タイ（鯛）,sea bream.mp3,5,st5_sec1
v1276,monkfish,アンコウ,monkfish.mp3,5,st5_sec1
