word_id,word,variants,ja,audio,audio_out
w_banana,banana,,バナナ,banana.mp3,済
w_pen,pen,,ペン,pen.mp3,済
w_book,book,,本,book.mp3,済
w_box,box,,箱,box.mp3,済
w_boxes,boxes,,箱,boxes.mp3,済
w_apple,apple,,りんご,apple.mp3,済
w_sandwich,sandwich,,サンドウィッチ,sandwich.mp3,済
w_notebook,notebook,,ノート,notebook.mp3,済
w_coffee,coffee,,コーヒー,coffee.mp3,済
w_fork,fork,,フォーク,fork.mp3,済
w_spoon,spoon,,スプーン,spoon.mp3,済
w_please,please,,お願いします,please.mp3,済
w_video game,video game,,テレビゲーム,video game.mp3,済
w_dog,dog,,犬,dog.mp3,済
w_hamburger,hamburger,,ハンバーガー,hamburger.mp3,済
w_salad,salad,,サラダ,salad.mp3,済
w_orange,orange,,オレンジ,orange.mp3,済
w_juice,juice,,ジュース,juice.mp3,済
w_grape,grape,,ぶどう,grape.mp3,済
w_cat,cat,,猫,cat.mp3,済
w_soccer,soccer,,サッカー,soccer.mp3,済
w_star,star,,星,star.mp3,済
w_would you,would you,,～していただけますか,would you.mp3,済
w_what,what,,何？,what.mp3,済
w_you,you,,あなた,you.mp3,済
w_cup,cup,,カップ,cup.mp3,済
w_pencil,pencil,,鉛筆,pencil.mp3,済
w_convenience store,convenience store,,コンビニエンスストア,convenience store.mp3,済
w_desk,desk,,机,desk.mp3,済
w_wall,wall,,壁,wall.mp3,済
w_Sunday,Sunday,,日曜日,Sunday.mp3,済
w_Monday,Monday,,月曜日,Monday.mp3,済
w_Tuesday,Tuesday,,火曜日,Tuesday.mp3,済
w_Wednesday,Wednesday,,水曜日,Wednesday.mp3,済
w_Thursday,Thursday,,木曜日,Thursday.mp3,済
w_Friday,Friday,,金曜日,Friday.mp3,済
w_Saturday,Saturday,,土曜日,Saturday.mp3,済
w_one,one,,1,one.mp3,済
w_two,two,,2,two.mp3,済
w_three,three,,3,three.mp3,済
w_four,four,,4,four.mp3,済
w_five,five,,5,five.mp3,済
w_six,six,,6,six.mp3,済
w_seven,seven,,7,seven.mp3,済
w_eight,eight,,8,eight.mp3,済
w_nine,nine,,9,nine.mp3,済
w_ten,ten,,10,ten.mp3,済
w_eleven,eleven,,11,eleven.mp3,済
w_twelve,twelve,,12,twelve.mp3,済
w_thirteen,thirteen,,13,thirteen.mp3,済
w_fourteen,fourteen,,14,fourteen.mp3,済
w_fifteen,fifteen,,15,fifteen.mp3,済
w_sixteen,sixteen,,16,sixteen.mp3,済
w_seventeen,seventeen,,17,seventeen.mp3,済
w_eighteen,eighteen,,18,eighteen.mp3,済
w_nineteen,nineteen,,19,nineteen.mp3,済
w_twenty,twenty,,20,twenty.mp3,済
w_thirty,thirty,,30,thirty.mp3,済
w_fourty,fourty,,40,fourty.mp3,済
w_fifty,fifty,,50,fifty.mp3,済
w_sixty,sixty,,60,sixty.mp3,済
w_seventy,seventy,,70,seventy.mp3,済
w_eighty,eighty,,80,eighty.mp3,済
w_ninety,ninety,,90,ninety.mp3,済
w_hundred,hundred,,100,hundred.mp3,済
w_thousand,thousand,,1000,thousand.mp3,済
w_million,million,,百万,million.mp3,済
w_billion,billion,,十億,billion.mp3,済
w_school,school,,学校,school.mp3,済
w_noon,noon,,正午,noon.mp3,済
w_bottle,bottle,,ボトル,bottle.mp3,済
w_room,room,,部屋,room.mp3,済
w_Tokyo,Tokyo,,東京,Tokyo.mp3,済
w_Osaka,Osaka,,大阪,Osaka.mp3,済
w_window,window,,窓,window.mp3,済
w_student,student,,学生,student.mp3,済
w_teacher,teacher,,先生,teacher.mp3,済
w_classroom,classroom,,教室,classroom.mp3,済
w_stranger,stranger,,知らない人,stranger.mp3,済
w_bathroom,bathroom,,トイレ,bathroom.mp3,済
w_shower,shower,,シャワー,shower.mp3,済
w_bath,bath,,風呂,bath.mp3,済
w_tulip,tulip,,チューリップ,tulip.mp3,済
w_picture,picture,,写真,picture.mp3,済
w_big,big,,大きい,big.mp3,済
w_of course,of course,,もちろん,of course.mp3,済
w_busy,busy,,忙しい,busy.mp3,済
w_want,want,,欲している,want.mp3,済
w_eat,eat,,食べる,eat.mp3,済
w_How many,How many,,いくつ？,How many.mp3,済
w_animal,animal,,動物,animal.mp3,済
w_sport,sport,,スポーツ,sport.mp3,済
